Data S1B: List of protein abundances (copies/cell) calculated in S. cerevisiae. This table also includes information about the individual values in each experimental time-point  and the variability of measurements (CV) in both replicates.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protein IDs,Uniprot_KB,Gene name,Protein name,protein abundance (copies /cell),,,REPLICATE-1_protein abundance (copies /cell),,,,,,,,,REPLICATE-2_protein abundance (copies /cell),,,,,,,,
YNL064C,P25491,YDJ1,Mitochondrial protein import protein MAS5,184733,12703,0.07,119867,346342,88932,180508,254925,41609,172030,103251,0.6,178494,230159,115377,182092,189945,288549,197436,52846,0.27
YNL066W,P53616,SUN4,Probable secreted beta-glucosidase SUN4,1318,854,0.65,NA,1256,55,NA,NA,82,464,560,1.21,1824,2654,601,1921,NA,3860,2172,1071,0.49
YNL067W,P51401,RPL9B,60S ribosomal protein L9-B,8792,2818,0.32,NA,9308,7012,4546,NA,3031,5974,2392,0.4,14548,12489,21873,17605,2807,334,11609,7696,0.66
YNL068C,P41813,FKH2,Fork head protein homolog 2,801,378,0.47,NA,NA,896,NA,2588,53,1179,1054,0.89,650,NA,NA,415,NA,201,422,183,0.43
YNL069C,P26785,RPL16B,60S ribosomal protein L16-B,566233,83584,0.15,1075050,1004780,369227,461899,859753,128195,649817,350483,0.54,440865,642941,283324,687047,655286,186434,482650,194292,0.4
YNL070W,P53507,TOM7,Mitochondrial import receptor subunit TOM7,5312,1636,0.31,6042,2960,NA,NA,NA,2025,3676,1716,0.47,NA,NA,NA,6949,NA,NA,6949,0,0
YNL071W,P12695,LAT1,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",89913,5709,0.06,178811,201946,44105,59229,76692,12948,95622,69996,0.73,101291,115726,78643,70045,73438,66082,84204,18080,0.21
YNL072W,P53942,RNH201,Ribonuclease H2 subunit A,950,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,NA,NA,950,0,0
YNL074C,P32047,MLF3,Protein MLF3,1456,930,0.64,NA,NA,NA,767,492,318,525,185,0.35,3230,839,1988,1502,NA,4370,2386,1263,0.53
YNL075W,P53941,IMP4,U3 small nucleolar ribonucleoprotein protein IMP4,7419,1097,0.15,8048,29108,5256,2497,5185,1004,8516,9475,1.11,11404,12257,3898,7456,2563,356,6322,4433,0.7
YNL076W,P34072,MKS1,Negative regulator of RAS-cAMP pathway,943,174,0.18,811,2136,210,511,723,218,768,652,0.85,1744,1469,802,527,656,1505,1117,470,0.42
YNL079C,P17536,TPM1,Tropomyosin-1,534048,116796,0.22,1157500,1473170,384141,89577,740548,60132,650845,528529,0.81,491774,630578,319594,348355,567790,145421,417252,164266,0.39
YNL084C,P39013,END3,Actin cytoskeleton-regulatory complex protein END3,5942,1840,0.31,1747,12155,3167,3556,3539,451,4102,3768,0.92,9860,8916,3548,11161,1487,11718,7782,3875,0.5
YNL085W,P40850,MKT1,Protein MKT1,965,78,0.08,NA,2749,272,833,1213,149,1043,936,0.9,519,2034,751,1556,249,212,887,681,0.77
YNL087W,P48231,TCB2,Tricalbin-2,2434,551,0.23,4798,7280,1442,2686,1161,543,2985,2363,0.79,758,4026,514,3173,1671,1160,1884,1289,0.68
YNL088W,P06786,TOP2,DNA topoisomerase 2,1830,398,0.22,2528,6735,741,535,2664,165,2228,2233,1,1220,2279,695,2937,604,856,1432,874,0.61
YNL090W,P06781,RHO2,GTP-binding protein RHO2,2127,309,0.15,2049,NA,NA,NA,1586,NA,1818,232,0.13,NA,2333,2887,2089,NA,NA,2436,334,0.14
YNL091W,P53935,NST1,Stress response protein NST1,317,5,0.02,NA,601,307,96,461,92,311,200,0.64,235,611,289,320,NA,157,322,155,0.48
YNL096C,P48164,RPS7B,40S ribosomal protein S7-B,1985224,172430,0.09,999136,3392710,1013100,1903470,3084800,483547,1812794,1094745,0.6,1880590,1625170,2038590,1231410,3521790,2648370,2157653,745439,0.35
YNL097C,P50947,PHO23,Transcriptional regulatory protein PHO23,818,3,0,NA,NA,NA,821,NA,NA,821,0,0,NA,825,NA,529,NA,1092,815,230,0.28
YNL098C,P01120,RAS2,Ras-like protein 2,55676,6700,0.12,42906,119031,32841,55872,36584,6621,48976,34641,0.71,94222,82400,57576,54087,25659,60309,62376,21830,0.35
YNL100W,P50945,MIC27,MICOS complex subunit MIC27,8480,2508,0.3,5734,7462,3784,8790,4091,NA,5972,1926,0.32,19345,20507,2106,18752,1853,3367,10988,8575,0.78
YNL102W,P13382,POL1,DNA polymerase alpha catalytic subunit A,311,4,0.01,414,1097,60,39,242,35,314,376,1.19,129,636,61,764,197,54,307,284,0.93
YNL103W,P32389,MET4,Transcriptional activator of sulfur metabolism MET4,737,89,0.12,539,978,462,365,1286,257,648,364,0.56,1396,919,366,1088,402,788,826,364,0.44
YNL104C,P06208,LEU4,2-isopropylmalate synthase,11664,715,0.06,17171,27994,8162,10994,9048,903,12379,8459,0.68,19515,17797,7684,11412,1827,7455,10948,6145,0.56
YNL106C,P50942,INP52,Polyphosphatidylinositol phosphatase INP52,4505,506,0.11,2780,12024,1774,2846,8578,2060,5011,3889,0.78,9547,3736,2013,1772,5449,1479,3999,2835,0.71
YNL107W,P53930,YAF9,Protein AF-9 homolog,700,42,0.06,NA,1099,NA,385,NA,NA,742,357,0.48,995,556,NA,424,NA,NA,658,244,0.37
YNL108C,P53929,YNL108C,Uncharacterized protein YNL108C,4178,2252,0.54,NA,2820,1495,1463,NA,NA,1926,632,0.33,5874,3914,220,12706,NA,9435,6430,4327,0.67
YNL110C,P53927,NOP15,Ribosome biogenesis protein 15,24082,2223,0.09,16258,52809,16184,19134,24004,2763,21859,15265,0.7,19408,26068,16312,44740,31180,20118,26304,9569,0.36
YNL111C,P40312,CYB5,Cytochrome b5,37590,362,0.01,43563,94806,15974,20886,43152,4989,37228,29293,0.79,24985,20590,50917,18620,64253,48346,37952,17374,0.46
YNL112W,P24783,DBP2,ATP-dependent RNA helicase DBP2,48110,11088,0.23,36131,80425,35925,28363,34437,6852,37022,21900,0.59,81609,98019,37129,62594,35851,39990,59199,23882,0.4
YNL113W,P28000,RPC19,DNA-directed RNA polymerases I and III subunit RPAC2,93077,177,0,134554,187514,62576,35095,120787,16876,92900,59868,0.64,114803,94519,65778,140641,104174,39607,93254,32822,0.35
YNL115C,P53925,YNL115C,Uncharacterized vacuolar membrane protein YNL115C,2147,1516,0.71,NA,5967,1189,3833,NA,NA,3663,1954,0.53,271,NA,856,763,NA,NA,630,257,0.41
YNL116W,P53924,DMA2,E3 ubiquitin-protein ligase DMA2,230,156,0.68,696,581,173,95,NA,NA,386,257,0.67,NA,90,59,NA,NA,NA,74,16,0.21
YNL118C,P53550,DCP2,mRNA-decapping enzyme subunit 2,6260,815,0.13,6739,12835,2762,4170,5989,177,5445,3940,0.72,9590,7759,8872,5416,5046,5769,7075,1760,0.25
YNL119W,P53923,NCS2,Cytoplasmic tRNA 2-thiolation protein 2,657,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,NA,1078,NA,NA,657,421,0.64
YNL121C,P07213,TOM70,Mitochondrial import receptor subunit TOM70,83870,5980,0.07,65954,159998,50064,78583,96205,16536,77890,44269,0.57,117074,114633,98547,69382,50344,89124,89851,23844,0.27
YNL123W,P53920,NMA111,Pro-apoptotic serine protease NMA111,2487,817,0.33,4510,10378,1144,1275,2448,74,3305,3451,1.04,1300,3594,255,4227,348,296,1670,1634,0.98
YNL124W,P53919,NAF1,H/ACA ribonucleoprotein complex non-core subunit NAF1,2588,373,0.14,2799,3656,2343,1909,2338,243,2215,1035,0.47,3512,4203,1748,3846,1345,3116,2961,1060,0.36
YNL125C,P53918,ESBP6,Uncharacterized transporter ESBP6,237,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,237,0,0
YNL126W,P53540,SPC98,Spindle pole body component SPC98,796,0,0,859,732,NA,NA,NA,NA,796,64,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
YNL129W,P53915,NRK1,Nicotinamide riboside kinase,937,100,0.11,NA,1811,627,700,NA,210,837,592,0.71,832,820,524,1971,NA,NA,1037,553,0.53
YNL130C,P17898,CPT1,Cholinephosphotransferase 1,605,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535,NA,674,NA,NA,605,69,0.11
YNL131W,P49334,TOM22,Mitochondrial import receptor subunit TOM22,41765,8599,0.21,23593,84867,16030,26773,40431,7298,33165,25236,0.76,55131,47191,35122,19904,43054,101782,50364,25463,0.51
YNL132W,P53914,KRE33,UPF0202 protein KRE33,4883,596,0.12,9445,15947,1767,2715,2895,104,5479,5512,1.01,3159,7610,610,12677,1108,555,4286,4477,1.04
YNL133C,P53913,FYV6,Protein FYV6,870,501,0.58,NA,492,NA,246,NA,NA,369,123,0.33,1306,851,NA,1958,NA,NA,1372,454,0.33
YNL134C,P53912,YNL134C,Uncharacterized protein YNL134C,68779,4314,0.06,102578,273011,15131,24992,20612,2235,73093,95118,1.3,183052,79309,29205,68460,12776,13983,64464,58826,0.91
YNL135C,P20081,FPR1,FK506-binding protein 1,655135,471127,0.72,307088,521248,89144,109431,72201,4936,184008,177016,0.96,1226830,1097190,1107220,692037,1399990,1234310,1126263,218508,0.19
YNL136W,P53911,EAF7,Chromatin modification-related protein EAF7,196,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,NA,NA,174,NA,NA,196,22,0.11
YNL137C,P27929,NAM9,"37S ribosomal protein NAM9, mitochondrial",4387,3278,0.75,2171,2479,369,NA,433,93,1109,1004,0.91,954,1291,NA,9037,NA,19379,7665,7496,0.98
YNL138W,P17555,SRV2,Adenylyl cyclase-associated protein,50714,803,0.02,69034,96518,36352,37253,52809,7497,49910,27956,0.56,73714,92866,35172,47246,26082,34021,51517,23948,0.46
YNL139C,P53552,THO2,THO complex subunit 2,337,29,0.09,199,1149,10,242,237,9,308,389,1.26,173,617,49,628,NA,NA,366,260,0.71
YNL141W,P53909,AAH1,Adenine deaminase,22512,8313,0.37,18631,41139,7964,8532,8801,125,14199,13188,0.93,20375,28351,29705,22309,30899,53312,30825,10761,0.35
YNL142W,P41948,MEP2,Ammonium transporter MEP2,1373,949,0.69,2322,NA,NA,NA,NA,NA,2322,0,0,NA,NA,NA,423,NA,NA,423,0,0
YNL147W,P53905,LSM7,U6 snRNA-associated Sm-like protein LSm7,12051,2430,0.2,12504,7467,8382,6744,20679,1947,9620,5830,0.61,20223,18729,8572,8893,15440,15028,14481,4442,0.31
YNL149C,P53903,PGA2,Processing of GAS1 and ALP protein 2,8562,269,0.03,NA,22132,4126,754,12514,1942,8293,8048,0.97,6781,7425,3326,12579,11961,10916,8831,3283,0.37
YNL151C,P17890,RPC31,DNA-directed RNA polymerase III subunit RPC7,7519,803,0.11,5343,14147,5749,4964,8726,1365,6716,3953,0.59,11648,9109,5129,9529,NA,6193,8322,2361,0.28
YNL153C,P53900,GIM3,Prefoldin subunit 4,49814,3861,0.08,58769,98497,40477,34865,80398,9045,53675,29634,0.55,64101,51515,28311,33524,48870,49392,45952,11877,0.26
YNL154C,P23292,YCK2,Casein kinase I homolog 2,5217,1753,0.34,12768,16640,2507,3415,5810,680,6970,5782,0.83,3011,7930,391,4158,NA,1829,3464,2559,0.74
YNL155W,P53899,CUZ1,CDC48-associated ubiquitin-like/zinc finger protein 1,329,34,0.1,NA,NA,221,211,860,158,363,288,0.8,NA,NA,86,503,NA,NA,295,208,0.71
YNL157W,P53897,IGO1,mRNA stability protein IGO1,12086,3821,0.32,6512,24351,5336,3566,1558,NA,8265,8215,0.99,31405,25794,8329,8707,10974,10231,15907,9163,0.58
YNL160W,P38616,YGP1,Protein YGP1,147475,8655,0.06,212280,387911,78532,90634,57365,6200,138820,127555,0.92,215101,225142,264575,95372,100325,36264,156130,82839,0.53
YNL161W,P53894,CBK1,Serine/threonine-protein kinase CBK1,434,281,0.65,383,223,73,54,NA,33,153,133,0.87,463,898,326,1176,NA,NA,716,339,0.47
YNL162W-A,Q3E7A8,YNL162W-A,Uncharacterized protein YNL162W-A,5601,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5601,5601,0,0
YNL163C,P53893,RIA1,Ribosome assembly protein 1,761,278,0.36,751,1786,213,22,119,9,483,634,1.31,2116,1200,104,733,NA,NA,1038,733,0.71
YNL164C,P53892,IBD2,Protein IBD2,152,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,152,0,0
YNL166C,P53890,BNI5,Bud neck protein 5,11141,1502,0.13,6100,21571,6014,6167,15922,2063,9639,6794,0.7,14621,15163,12408,10324,8706,14638,12643,2421,0.19
YNL167C,Q02100,SKO1,CRE-binding bZIP protein SKO1,1302,587,0.45,1192,1244,764,234,775,83,715,437,0.61,1460,1039,532,5844,NA,571,1889,2006,1.06
YNL168C,P53889,FMP41,Uncharacterized mitochondrial hydrolase FMP41,3434,477,0.14,4648,8171,1346,2182,1119,274,2957,2702,0.91,4259,4983,2155,4461,NA,3694,3911,970,0.25
YNL169C,P39006,PSD1,"Phosphatidylserine decarboxylase proenzyme 1, mitochondrial",1455,513,0.35,2768,7590,233,211,967,38,1968,2679,1.36,404,1682,552,1730,NA,344,943,627,0.67
YNL173C,P53885,MDG1,Signal transduction protein MDG1,18943,1027,0.05,21517,62263,8905,7497,6782,531,17916,20799,1.16,35829,32837,15945,21427,7384,6397,19970,11387,0.57
YNL175C,P53883,NOP13,Nucleolar protein 13,41922,1639,0.04,51464,94509,23501,34881,52502,4512,43561,28109,0.65,44607,63694,21196,54008,23995,34196,40282,15394,0.38
YNL177C,P53881,MRPL22,"54S ribosomal protein L22, mitochondrial",70,0,0,NA,NA,70,NA,NA,NA,70,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
YNL178W,P05750,RPS3,40S ribosomal protein S3,528938,54931,0.1,405008,1036600,227356,456226,619870,98982,474007,301204,0.64,513771,680975,360332,770534,742317,435290,583870,156172,0.27
YNL180C,P53879,RHO5,GTP-binding protein RHO5,5745,1823,0.32,14897,18830,3482,2356,5064,782,7568,6791,0.9,4597,9017,2695,4980,1232,1007,3921,2732,0.7
YNL181W,P53878,YNL181W,Uncharacterized oxidoreductase YNL181W,1345,169,0.13,2160,3481,254,NA,158,NA,1513,1388,0.92,1226,1585,NA,717,NA,NA,1176,356,0.3
YNL182C,P53877,IPI3,Pre-rRNA-processing protein IPI3,4189,1004,0.24,6178,16034,1604,1700,5299,343,5193,5277,1.02,5252,4197,1500,5749,1462,954,3186,1943,0.61
YNL183C,P22211,NPR1,Nitrogen permease reactivator protein,721,326,0.45,NA,400,88,455,637,NA,395,198,0.5,2572,1270,447,768,182,1044,1047,770,0.74
YNL185C,P53875,MRPL19,"54S ribosomal protein L19, mitochondrial",2743,696,0.25,NA,4088,1436,2907,1488,318,2047,1310,0.64,3287,5414,2582,2471,NA,NA,3439,1183,0.34
YNL186W,P53874,UBP10,Ubiquitin carboxyl-terminal hydrolase 10,1392,49,0.03,1824,4160,1222,181,1197,60,1441,1363,0.95,1448,2627,509,1333,NA,801,1344,728,0.54
YNL189W,Q02821,SRP1,Importin subunit alpha,16003,4483,0.28,35127,49634,6972,12538,17224,1418,20486,16753,0.82,10834,19090,6476,17443,7361,7914,11520,4977,0.43
YNL197C,P34761,WHI3,Protein WHI3,2111,310,0.15,3463,3946,1690,1503,3589,339,2422,1322,0.55,3286,2214,1371,2210,1485,240,1801,937,0.52
YNL199C,Q01722,GCR2,Glycolytic genes transcriptional activator GCR2,843,136,0.16,660,895,274,874,829,NA,706,231,0.33,676,979,883,716,NA,1642,979,349,0.36
YNL200C,P40165,YNL200C,NAD(P)H-hydrate epimerase,3108,94,0.03,NA,7792,573,678,NA,NA,3014,3379,1.12,4042,3979,NA,1585,NA,NA,3202,1144,0.36
YNL201C,P40164,PSY2,Serine/threonine-protein phosphatase 4 regulatory subunit 3,1871,469,0.25,3033,2629,856,686,1125,82,1402,1064,0.76,1963,3789,3161,1039,1862,2225,2340,899,0.38
YNL202W,P32573,SPS19,"Peroxisomal 2,4-dienoyl-CoA reductase SPS19",2670,383,0.14,2882,3940,1202,NA,3217,197,2287,1378,0.6,1082,5430,1359,2760,6805,883,3053,2283,0.75
YNL206C,P40161,RTT106,Histone chaperone RTT106,1915,405,0.21,NA,3134,680,5923,1295,567,2320,2023,0.87,1671,2695,157,1748,NA,1280,1510,821,0.54
YNL207W,P40160,RIO2,Serine/threonine-protein kinase RIO2,2809,143,0.05,3176,7988,858,1075,2334,564,2666,2547,0.96,2679,3139,3195,3675,2183,2846,2953,464,0.16
YNL208W,P40159,YNL208W,Uncharacterized protein YNL208W,70766,36186,0.51,6253,1472,87995,43783,50177,17804,34580,29892,0.86,238410,116288,110692,79872,9984,86464,106952,68238,0.64
YNL209W,P40150,SSB2,Heat shock protein SSB2,3008676,376369,0.13,1807060,5103920,1794800,3212050,3166760,709256,2632308,1403044,0.53,3135200,3726530,2807550,2779990,3853280,4007720,3385045,497593,0.15
YNL212W,P40157,VID27,Vacuolar import and degradation protein 27,2158,858,0.4,5835,9402,755,984,995,126,3016,3426,1.14,2157,2145,593,2396,92,423,1301,947,0.73
YNL214W,P40155,PEX17,Peroxisomal membrane protein PEX17,132,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,132,0,0
YNL215W,P40154,IES2,Ino eighty subunit 2,689,131,0.19,NA,292,511,NA,1376,51,558,500,0.9,1325,1520,321,473,NA,461,820,499,0.61
YNL216W,P11938,RAP1,DNA-binding protein RAP1,7963,521,0.07,5760,16143,5071,4962,11462,1255,7442,4912,0.66,11312,10836,6068,11481,2286,8922,8484,3340,0.39
YNL219C,P53868,ALG9,"Alpha-1,2-mannosyltransferase ALG9",1171,78,0.07,NA,1249,NA,NA,NA,NA,1249,0,0,NA,104,NA,2084,NA,NA,1094,990,0.91
YNL220W,P80210,ADE12,Adenylosuccinate synthetase,48736,5824,0.12,70733,165238,23042,32555,31158,4635,54560,53274,0.98,65965,84957,24898,56263,12954,12431,42911,27774,0.65
YNL221C,P41812,POP1,Ribonucleases P/MRP protein subunit POP1,289,2,0.01,466,328,426,218,NA,13,290,163,0.56,319,167,NA,375,NA,NA,287,88,0.31
YNL222W,P53538,SSU72,RNA polymerase II subunit A C-terminal domain phosphatase SSU72,1721,821,0.48,NA,2701,85,NA,627,189,901,1059,1.18,4528,4303,319,1826,NA,1734,2542,1622,0.64
YNL224C,P53866,SQS1,Protein SQS1,541,313,0.58,NA,NA,150,NA,307,NA,229,78,0.34,2620,115,67,613,NA,NA,854,1042,1.22
YNL225C,P53865,CNM67,Chaotic nuclear migration protein 67,642,246,0.38,842,624,66,385,437,26,397,288,0.73,2178,511,33,163,NA,1554,888,838,0.94
YNL227C,P53863,JJJ1,J protein JJJ1,8447,2416,0.29,12001,30860,3898,4715,2845,NA,10864,10505,0.97,6328,11237,9002,8009,1318,292,6031,3981,0.66
YNL229C,P23202,URE2,Transcriptional regulator URE2,1900,686,0.36,NA,2825,1303,918,635,387,1214,861,0.71,3684,2594,1025,7174,408,630,2586,2354,0.91
YNL231C;YDR254W,P53860,PDR16,Phosphatidylinositol transfer protein PDR16,8156,2494,0.31,14707,22831,5305,6982,12185,1890,10650,6904,0.65,6723,11031,4863,7457,1577,2326,5663,3205,0.57
YNL232W,P53859,CSL4,Exosome complex component CSL4,15574,1034,0.07,17196,36225,4740,11662,14596,2821,14540,10946,0.75,10889,20774,13784,11953,17173,25070,16607,5027,0.3
YNL233W,P53858,BNI4,Protein BNI4,827,161,0.2,1317,1489,225,270,512,181,666,534,0.8,1101,1550,572,1148,1113,447,989,373,0.38
YNL234W,P53857,YNL234W,Uncharacterized globin-like protein YNL234W,343,142,0.41,NA,NA,201,NA,NA,NA,201,0,0,788,278,NA,389,NA,NA,485,219,0.45
YNL236W,P32259,SIN4,Mediator of RNA polymerase II transcription subunit 16,414,86,0.21,145,1601,41,NA,214,NA,500,638,1.28,473,502,202,315,NA,152,329,140,0.43
YNL239W,Q01532,LAP3,"Cysteine proteinase 1, mitochondrial",30159,7758,0.26,58315,119684,12492,17008,19051,947,37916,40637,1.07,32905,58435,9733,26823,4617,1893,22401,19688,0.88
YNL240C,P23503,NAR1,Cytosolic Fe-S cluster assembly factor NAR1,671,148,0.22,NA,1018,156,396,NA,NA,523,363,0.69,NA,1001,NA,NA,NA,637,819,182,0.22
YNL241C,P11412,ZWF1,Glucose-6-phosphate 1-dehydrogenase,31391,6775,0.22,30884,88343,25097,27939,48948,7785,38166,25447,0.67,35196,43765,18402,24239,9914,16185,24617,11580,0.47
YNL243W,P33338,SLA2,Protein SLA2,6703,1088,0.16,18767,17223,2682,3138,4542,398,7791,7330,0.94,5023,9505,4035,12735,1122,1269,5615,4238,0.75
YNL244C,P32911,SUI1,Eukaryotic translation initiation factor eIF-1,265447,6021,0.02,233276,510956,178522,284502,347631,73924,271469,136898,0.5,357446,281133,201049,231162,243952,241814,259426,49725,0.19
YNL245C,P53854,CWC25,Pre-mRNA-splicing factor CWC25,1194,195,0.16,891,1206,790,NA,2672,NA,1390,756,0.54,1202,1492,390,911,NA,NA,999,407,0.41
YNL246W,P53853,VPS75,Vacuolar protein sorting-associated protein 75,718,47,0.06,NA,NA,NA,1060,1023,212,765,391,0.51,2086,378,70,180,NA,644,672,734,1.09
YNL247W,P53852,YNL247W,Cysteine--tRNA ligase,23291,3651,0.16,34622,72775,12832,16206,22096,3121,26942,22601,0.84,26856,34489,11310,32678,5806,6700,19640,12047,0.61
YNL248C,Q01080,RPA49,DNA-directed RNA polymerase I subunit RPA49,31301,1923,0.06,30180,78316,23857,32178,30262,4551,33224,22220,0.67,32495,52842,18132,29341,24140,19319,29378,11657,0.4
YNL250W,P12753,RAD50,DNA repair protein RAD50,560,129,0.23,818,1081,85,NA,143,29,431,433,1,1269,1353,26,295,NA,501,689,531,0.77
YNL251C,P53617,NRD1,Protein NRD1,1575,476,0.3,NA,2656,756,719,987,378,1099,802,0.73,3905,3754,177,2134,NA,287,2051,1610,0.79
YNL252C,P36528,MRPL17,"54S ribosomal protein L17, mitochondrial",3836,342,0.09,3406,10858,2374,2837,4835,756,4178,3225,0.77,4929,8517,3200,1744,543,2033,3494,2623,0.75
YNL255C,P53849,GIS2,Zinc finger protein GIS2,121596,60838,0.5,20974,148078,10691,57509,111297,15997,60758,52094,0.86,101591,143083,31888,78382,190494,549164,182434,171333,0.94
YNL256W,P53848,FOL1,Folic acid synthesis protein FOL1,1020,145,0.14,2636,353,1093,593,2263,51,1165,966,0.83,1074,1481,555,1400,672,71,875,495,0.57
YNL258C,P53847,DSL1,Protein transport protein DSL1,286,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,NA,389,NA,NA,286,104,0.36
YNL259C,P38636,ATX1,Metal homeostasis factor ATX1,11906,3069,0.26,11505,16919,8627,6766,8567,642,8837,4899,0.55,37500,25726,8003,11838,4801,1980,14975,12608,0.84
YNL262W,P21951,POL2,DNA polymerase epsilon catalytic subunit A,341,73,0.21,NA,126,219,502,487,6,268,197,0.73,248,440,NA,708,NA,263,415,185,0.45
YNL263C,P53845,YIF1,Protein transport protein YIF1,299,218,0.73,NA,NA,NA,81,NA,NA,81,0,0,209,359,NA,985,NA,NA,518,336,0.65
YNL264C,P53844,PDR17,Phosphatidylinositol transfer protein PDR17,794,100,0.13,2336,1676,98,298,NA,62,894,935,1.05,82,2439,63,801,83,NA,694,917,1.32
YNL265C,P53843,IST1,Vacuolar protein sorting-associated protein IST1,1151,632,0.55,NA,1100,144,NA,785,45,519,440,0.85,2209,442,1223,3260,NA,NA,1783,1057,0.59
YNL267W,P39104,PIK1,Phosphatidylinositol 4-kinase PIK1,288,29,0.1,NA,808,197,87,168,33,258,281,1.09,NA,523,263,166,NA,NA,317,151,0.48
YNL271C,P41832,BNI1,Protein BNI1,352,148,0.42,410,390,180,66,160,18,204,149,0.73,809,1016,166,406,NA,102,500,358,0.72
YNL272C,P17065,SEC2,Rab guanine nucleotide exchange factor SEC2,654,309,0.47,NA,1355,387,NA,1146,NA,963,416,0.43,169,567,NA,300,NA,NA,345,166,0.48
YNL274C,P53839,GOR1,Glyoxylate reductase 1,11914,542,0.05,14375,39594,4212,5209,4173,668,11372,13299,1.17,20569,24393,5144,9314,NA,2860,12456,8529,0.68
YNL278W,P53836,CAF120,CCR4-NOT transcriptional complex subunit CAF120,6698,1624,0.24,5594,2660,8346,5075,8761,9,5074,3056,0.6,13717,10245,9180,2484,2991,11320,8323,4184,0.5
YNL281W,P53834,HCH1,Hsp90 co-chaperone HCH1,96906,37091,0.38,75197,161152,26914,35788,57199,2640,59815,50730,0.85,103980,114623,178569,74194,161364,171251,133997,38679,0.29
YNL284C,P36520,MRPL10,"54S ribosomal protein L10, mitochondrial",524,222,0.42,NA,509,NA,NA,984,NA,746,237,0.32,654,170,83,NA,NA,NA,302,251,0.83
YNL284C-B,Q12112,TY1B-NL1,Transposon Ty1-NL1 Gag-Pol polyprotein,1049,455,0.43,NA,NA,603,585,NA,NA,594,9,0.02,2335,233,1945,NA,NA,NA,1504,913,0.61
YNL286W,P53830,CUS2,Cold sensitive U2 snRNA suppressor 2,642,68,0.11,NA,968,358,398,NA,NA,574,279,0.49,1260,766,504,239,NA,782,710,339,0.48
YNL287W,P32074,SEC21,Coatomer subunit gamma,20656,3681,0.18,42945,65235,10697,10188,16008,952,24337,22440,0.92,20413,30724,8957,22615,9617,9526,16975,8232,0.48
YNL290W,P38629,RFC3,Replication factor C subunit 3,4637,624,0.13,5205,8707,1878,3762,3935,589,4013,2576,0.64,4512,4648,2792,12097,1563,5954,5261,3364,0.64
YNL292W,P48567,PUS4,tRNA pseudouridine synthase 4,10818,492,0.05,5269,20150,7337,14816,18851,1439,11310,7036,0.62,12032,10129,7480,13406,7944,10965,10326,2106,0.2
YNL297C,P48563,MON2,Protein MON2,267,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,191,519,NA,267,183,0.69
YNL298W,P48562,CLA4,Serine/threonine-protein kinase CLA4,455,14,0.03,633,1434,232,237,238,36,468,467,1,460,844,NA,397,NA,64,441,277,0.63
YOL120C;YNL301C,P0CX49,RPL18A,60S ribosomal protein L18-A,176203,59399,0.34,65814,269949,82706,121411,125881,35058,116803,75279,0.64,180736,258772,147598,562309,102811,161387,235602,153390,0.65
YNL302C,P07281,RPS19B,40S ribosomal protein S19-B,2177968,308455,0.14,1277880,3130520,995570,2119870,3144460,548779,1869513,1011307,0.54,1872050,1585320,2507690,1335240,4758300,2859940,2486423,1141348,0.46
YNL306W,P42847,MRPS18,"37S ribosomal protein S18, mitochondrial",2703,71,0.03,NA,5761,520,3412,3053,418,2633,1997,0.76,3334,2566,1046,6041,NA,883,2774,1876,0.68
YNL307C,P21965,MCK1,Protein kinase MCK1,8475,1303,0.15,11210,22984,5599,10103,8051,719,9778,6820,0.7,5821,11839,4996,11913,NA,1291,7172,4133,0.58
YNL308C,P42846,KRI1,Protein KRI1,25164,306,0.01,25518,58797,14005,10430,36183,4217,24859,18405,0.74,24107,27966,21391,23986,40132,15240,25470,7600,0.3
